Protein	Term
Q8TDU9	GO:0008528
O43567	GO:0061630
P0DMV8	GO:0047485
P0DMV8	GO:0051082
P0DMV8	GO:0005524
P0DMV8	GO:0042826
P0DMV8	GO:0045296
P32456	GO:0042803
P32456	GO:0005525
P32456	GO:0003924
P62166	GO:0005509
Q6ZSB9	GO:0000978
Q6ZSB9	GO:0001227
Q7L5D6	GO:0051087
Q9Y3P4	GO:0004252
P17858	GO:0005524
Q8NGI6	GO:0004984
O60291	GO:0061630
Q8WXK4	GO:0061630
P22061	GO:0045296
Q9HBF4	GO:0008270
O43889	GO:0000978
O43889	GO:0001228
Q6NSW5	GO:0031267
Q6NSW5	GO:0005085
P16471	GO:0004896
P16471	GO:0019955
Q9NQB0	GO:0000978
Q9NQB0	GO:0008013
Q9NQB0	GO:0061629
Q5TG30	GO:0005096
Q8IU85	GO:0005516
Q14117	GO:0008270
Q96N22	GO:0000978
P02745	GO:0001540
Q96K58	GO:0000978
Q96K58	GO:0001228
Q14584	GO:0001227
P30519	GO:0020037
Q8IV63	GO:0019903
B6A8C7	GO:0034987
Q9GZS9	GO:0008146
Q9H3Q1	GO:0031267
O75449	GO:0008017
O75449	GO:0046982
O15178	GO:0061629
P56693	GO:0000978
P56693	GO:0001228
Q2L4Q9	GO:0004252
O14628	GO:0000978
O14628	GO:0008270
A6NND4	GO:0004984
O60499	GO:0005484
P43699	GO:0000978
P43699	GO:0061629
O60664	GO:0045296
P36955	GO:0004867
Q6V0L0	GO:0004497
Q9H2A9	GO:0008146
Q13190	GO:0005484
Q13190	GO:0045296
Q13190	GO:0047485
O75381	GO:0008017
P51793	GO:0005254
P00746	GO:0004252
Q96BY2	GO:0031625
P61225	GO:0005525
P61225	GO:0003924
P61225	GO:0019003
P23284	GO:0051082
Q13253	GO:0019955
O43167	GO:0000978
P04216	GO:0005178
P04216	GO:0005096
Q9GZN4	GO:0004252
P47900	GO:0005524
Q9NRS4	GO:0004252
Q5PR19	GO:0048306
P09086	GO:0000978
O75821	GO:0003743
P01584	GO:0005178
O14639	GO:0051015
O75635	GO:0004867
Q9UBE0	GO:0046982
Q9UBE0	GO:0008022
P01850	GO:0034987
Q06945	GO:0000978
Q06945	GO:0001228
Q9UGC6	GO:0003924
Q8WWB5	GO:0031267
O15123	GO:0030971
Q8NHH9	GO:0005525
Q8NHH9	GO:0003924
Q9BV40	GO:0005484
Q9BV40	GO:0019905
Q9UK33	GO:0000978
Q9UK33	GO:0001228
O00194	GO:0019003
O75078	GO:0005178
P13056	GO:0000978
P13056	GO:0004879
Q9H8M7	GO:0004843
A4D1S5	GO:0003924
P01106	GO:0000978
P01106	GO:0001228
P01106	GO:0001227
Q5T619	GO:0000978
Q9H6H4	GO:0008017
Q86SS6	GO:0005544
Q86SS6	GO:0005509
Q86SS6	GO:0001786
P16278	GO:0042803
O14817	GO:0005178
Q96HU8	GO:0005525
Q96HU8	GO:0003924
Q96HU8	GO:0019003
P20800	GO:0005179
P36873	GO:0047485
Q9Y473	GO:0001227
P01135	GO:0008083
Q9H2U2	GO:0000287
P10909	GO:0031625
P10909	GO:0001540
Q6ZS11	GO:0031267
Q5SXM8	GO:0051087
P05111	GO:0005179
P05111	GO:0008083
O14775	GO:0005096
O14775	GO:0003924
O14775	GO:0051087
Q6J4K2	GO:0042803
P62877	GO:0061630
P62877	GO:0031625
P62877	GO:0061629
Q6UX46	GO:0030971
P20794	GO:0003713
O75380	GO:0008137
Q9UNL4	GO:0035064
Q9UNL4	GO:0003713
Q9HD26	GO:0044325
P0C0S5	GO:0000978
P0C0S5	GO:0031490
P48426	GO:0042803
O00287	GO:0001228
P56696	GO:0005249
P56696	GO:0005516
O15541	GO:0061630
Q99081	GO:0000978
Q99081	GO:0001228
Q86WV1	GO:0019903
Q9NU63	GO:0001227
Q6PIU1	GO:0005249
P27449	GO:0031625
Q02447	GO:0000978
Q02447	GO:0061629
Q9NYG5	GO:0061630
P86791	GO:0005085
P04264	GO:0046982
Q9UK41	GO:0043130
Q8NBI6	GO:0030145
P08861	GO:0004252
Q9UPW0	GO:0000978
Q9UPW0	GO:0001228
Q8WV44	GO:0061630
Q9GZX7	GO:0031625
Q9NXR1	GO:0008017
Q9P1Z3	GO:0005249
P35080	GO:0005546
Q16548	GO:0042803
P37023	GO:0005524
O15379	GO:0042826
P20138	GO:0019903
Q8N0X4	GO:0000287
O14530	GO:0045296
P50914	GO:0045296
Q8TE67	GO:0005085
Q8TE67	GO:0051015
Q99929	GO:0001227
O95057	GO:0005525
O95057	GO:0003924
O95057	GO:0019003
Q8N5Y2	GO:0035064
O60749	GO:0046982
O60749	GO:0042803
O60749	GO:0045296
Q9UNH7	GO:0042803
O00626	GO:0008009
Q5TA31	GO:0061630
P47756	GO:0051015
P47756	GO:0045296
Q8WTS6	GO:0002039
Q6ZSG1	GO:0061630
Q9BV47	GO:0002039
P55040	GO:0019003
P55040	GO:0005525
P55040	GO:0003924
P55040	GO:0000287
Q86UU5	GO:0031625
Q9Y3Y4	GO:0035064
P61026	GO:0005525
P61026	GO:0003924
P61026	GO:0019003
P06702	GO:0008017
P06702	GO:0048306
P06702	GO:0008270
P06702	GO:0005509
P42681	GO:0004713
P01834	GO:0034987
P09238	GO:0004222
P49279	GO:0042803
Q8WY07	GO:0015171
Q13501	GO:0031625
Q13501	GO:0030971
Q13501	GO:0043130
P62312	GO:0046982
Q02297	GO:0005178
Q02297	GO:0030971
Q02297	GO:0008083
O95600	GO:0000978
P32942	GO:0005178
P13501	GO:0008009
P13501	GO:0043621
Q9H343	GO:0004984
P56545	GO:0003713
P13995	GO:0000287
Q9UIA0	GO:0005085
P01236	GO:0005179
P78423	GO:0005178
Q8N7C0	GO:0044325
Q9HCC6	GO:0000978
P78371	GO:0031625
P78371	GO:0051082
Q969F2	GO:0051117
Q969F2	GO:0031625
Q8N4C7	GO:0005484
Q9H4E7	GO:0005085
P35222	GO:0061629
P35222	GO:0008022
P35222	GO:0044325
P35222	GO:0045296
P35222	GO:0003713
P35222	GO:0008013
Q9BQ50	GO:0042803
Q9BQ50	GO:0000287
O76093	GO:0008083
Q9UIL4	GO:0008017
P56704	GO:0005109
P31146	GO:0051015
Q8IYB8	GO:0003725
Q8IYB8	GO:0042803
Q14938	GO:0000978
A0A0G2JMH3	GO:0005525
Q05682	GO:0045296
Q9Y282	GO:0043621
Q9H300	GO:0004252
Q14653	GO:0000978
Q14653	GO:0001228
Q14653	GO:0042803
Q15822	GO:0005231
Q15822	GO:1904315
Q8IV04	GO:0005096
Q53H47	GO:0042803
Q53H47	GO:0003697
Q04741	GO:0000978
P49427	GO:0061631
P01270	GO:0005179
P01270	GO:0047485
P28906	GO:0061629
Q99607	GO:0000978
Q99607	GO:0001228
Q9BYZ6	GO:0003924
P12104	GO:0005504
A1A4Y4	GO:0003924
Q9Y217	GO:0004725
Q9Y217	GO:0004722
Q96NK8	GO:0000978
O15062	GO:0000978
O15062	GO:0001227
Q99497	GO:0003697
Q99497	GO:0097110
Q99497	GO:0042803
Q99497	GO:0019955
Q99497	GO:0045296
Q99497	GO:0003713
P35612	GO:0046982
P35612	GO:0042803
P35612	GO:0051015
Q86Y82	GO:0005484
P62714	GO:0004722
Q8WU90	GO:0045296
Q9UN79	GO:0000978
Q9UN79	GO:0001227
Q8TAE7	GO:0005249
O60548	GO:0001228
Q9BSY9	GO:0004843
P78415	GO:0000978
Q9NU39	GO:0000978
Q5T6F0	GO:1990756
O95863	GO:0001227
Q9C009	GO:0000978
Q9Y2W7	GO:0000978
Q9Y2W7	GO:0001227
Q5JVG8	GO:0000978
P49137	GO:0005516
Q9BPX5	GO:0051015
Q96CN4	GO:0031267
Q96CN4	GO:0005096
Q8NI51	GO:0001228
Q08J23	GO:0000049
Q8NEP9	GO:0001227
P09683	GO:0005179
Q7KZI7	GO:0045296
Q7KZI7	GO:0005524
O43294	GO:0003713
O14732	GO:0042803
Q6P280	GO:0001227
Q96FW1	GO:0031625
Q96FW1	GO:0043130
Q99941	GO:0000978
Q8TAI7	GO:0005525
Q8TAI7	GO:0003924
Q8TAI7	GO:0019003
Q9UBF6	GO:0061630
Q9UBF6	GO:0005507
Q6VVB1	GO:0061630
Q641Q3	GO:0005179
Q96R05	GO:0005504
P04004	GO:0005178
Q96RA2	GO:0004984
Q5TC79	GO:0001227
A0A0C4DH29	GO:0034987
P81277	GO:0005179
P35453	GO:0000978
P35453	GO:0001228
Q9BZJ3	GO:0004252
Q9H095	GO:0005516
P09467	GO:0061629
Q8NFG4	GO:0005096
Q5R387	GO:0005509
Q9H4P4	GO:0031267
Q9H4P4	GO:0061630
Q9H4P4	GO:0030971
Q6UW88	GO:0008083
P61964	GO:0035064
Q7RTV0	GO:0008270
Q9BU19	GO:0000978
Q9BU19	GO:0001227
P02042	GO:0020037
O95391	GO:0008270
Q96D21	GO:0003924
P06280	GO:0042803
P49711	GO:0000978
P49711	GO:0008270
P49711	GO:0001227
Q96C19	GO:0005509
Q96C19	GO:0045296
O14926	GO:0051015
P40855	GO:0051117
P40855	GO:0047485
P60510	GO:0004722
Q9NQX6	GO:0000978
P49795	GO:0003924
P06746	GO:0008017
Q96KK4	GO:0004984
B4DX44	GO:0000978
P22415	GO:0046982
P22415	GO:0042803
P22415	GO:0042826
P62330	GO:0003924
P62330	GO:0019003
E9PGG2	GO:0000978
O95816	GO:0044325
O95816	GO:0051087
O43819	GO:0005507
P05112	GO:0008083
Q9NUQ8	GO:0045296
Q9NUQ8	GO:0005524
P50542	GO:0031267
P50542	GO:0047485
P98187	GO:0004497
P26374	GO:0031267
Q13618	GO:0061630
Q13618	GO:0031625
P41214	GO:0003743
P52943	GO:0008270
P60763	GO:0048306
P60763	GO:0005525
P60763	GO:0003924
P02511	GO:0042803
P02511	GO:0001540
O75127	GO:0000049
Q52M93	GO:0000978
Q52M93	GO:0001228
Q9H2M3	GO:0008270
Q7LDG7	GO:0005085
Q7LDG7	GO:0005509
Q92870	GO:0001540
Q01196	GO:0000978
Q01196	GO:0001228
O60422	GO:0000978
Q9UJX4	GO:0019903
O00743	GO:0004722
Q15843	GO:0031625
P29459	GO:0046982
P29459	GO:0008083
P24462	GO:0004497
P15692	GO:0008083
Q96LR5	GO:0061631
Q8IVT2	GO:0051015
P80511	GO:0048306
P80511	GO:0008270
P80511	GO:0005509
P80511	GO:0005507
Q8NF99	GO:0000978
Q9BQ15	GO:0003697
E9PB15	GO:0051087
P42224	GO:0000978
P42224	GO:0042803
P42224	GO:0045296
P16871	GO:0004896
Q96S21	GO:0003924
O60729	GO:0004725
O60729	GO:0004722
Q96DZ5	GO:0008017
P54727	GO:0043130
P54727	GO:0003697
Q969Q4	GO:0005525
Q9Y6W5	GO:0017124
Q9Y6W5	GO:0045296
P09630	GO:0000978
Q9H0W9	GO:0008270
Q9P0K8	GO:0000978
Q9P0K8	GO:0001228
Q5TGS1	GO:0000978
O96019	GO:0003713
P25791	GO:0003713
P18847	GO:0001227
P18847	GO:0042803
P18847	GO:0000978
Q8TC29	GO:0005516
P49910	GO:0000978
A6NDL8	GO:0004984
Q16795	GO:0008137
Q6ZWJ1	GO:0019905
Q9NRN7	GO:0000287
Q86W11	GO:0000978
O76081	GO:0005096
Q6XPS3	GO:0004725
Q13325	GO:0000049
P78411	GO:0000978
O15296	GO:0005509
Q12824	GO:0003713
Q13347	GO:0003743
P07205	GO:0005524
Q96L12	GO:0005509
Q9H6R0	GO:0003725
Q16611	GO:0046982
Q16611	GO:0042803
Q16611	GO:0044325
P31151	GO:0048306
P31151	GO:0008270
P31151	GO:0005509
Q5JS13	GO:0005085
P07951	GO:0051015
O75844	GO:0004222
Q9Y616	GO:0046982
Q9Y616	GO:0042803
Q9Y616	GO:0005524
Q8NGC2	GO:0004984
Q16186	GO:0043130
P34130	GO:0008083
P13500	GO:0008009
Q99612	GO:0000978
Q99612	GO:0001228
Q8IVH4	GO:0042803
Q8IVH4	GO:0005525
Q8IVH4	GO:0003924
Q9HB21	GO:0030165
Q15813	GO:0051087
P41182	GO:0000978
P41182	GO:0001227
Q9NPH5	GO:0020037
Q99661	GO:0008017
Q7L0Q8	GO:0005085
Q7L0Q8	GO:0005525
Q7L0Q8	GO:0003924
Q9Y6J9	GO:0003713
P12931	GO:0005178
P12931	GO:0008022
P12931	GO:0044325
P12931	GO:0045296
P12931	GO:0004713
P12931	GO:0020037
O15444	GO:0005179
O15444	GO:0008009
Q8N187	GO:0000978
Q8N187	GO:0001228
Q14814	GO:0042826
Q14814	GO:0061629
Q5JTJ3	GO:0005507
Q9UL17	GO:0001227
Q96S37	GO:0030165
O00762	GO:0061630
O00762	GO:0061631
Q86YI8	GO:0035064
Q16828	GO:0004725
O00429	GO:0005096
O00429	GO:0042803
O00429	GO:0031267
O00429	GO:0003924
A8MUZ8	GO:0001227
A6NJG6	GO:0000978
P56556	GO:0008137
Q8WXF7	GO:0005525
Q16549	GO:0004252
O75900	GO:0008270
O75900	GO:0004222
Q9HBE1	GO:0000978
Q9HBE1	GO:0031625
Q9HBE1	GO:0001227
P02768	GO:0005504
P02768	GO:0008270
P02768	GO:0051087
P21980	GO:0005509
P21980	GO:0005525
P28845	GO:0042803
Q8TE68	GO:0045296
P78413	GO:0000978
P78352	GO:0008022
Q8TBC4	GO:0046982
Q9NRW4	GO:0004725
O95837	GO:0005525
O95837	GO:0003924
P20337	GO:0019003
P20337	GO:0003924
Q9HD90	GO:0000978
Q86V40	GO:0004222
Q6P1K1	GO:0020037
Q8NGC4	GO:0004984
Q96PP9	GO:0042803
Q96PP9	GO:0005525
Q96PP9	GO:0003924
Q15406	GO:0000978
Q15406	GO:0004879
P99999	GO:0020037
Q9H4E5	GO:0005525
Q8WZA6	GO:0004984
P24158	GO:0004252
Q6HA08	GO:0004222
P47224	GO:0005085
P47224	GO:0008270
Q92747	GO:0051015
A0A0G2JMI3	GO:0034987
Q96N38	GO:0000978
Q8N693	GO:0001227
Q12904	GO:0000049
P50591	GO:0008270
O75467	GO:0000978
O95716	GO:0003924
Q9GZR2	GO:0003697
P0DML2	GO:0005179
P0DML2	GO:0008083
Q9BXM7	GO:0031625
Q9BXM7	GO:0005524
Q9BXM7	GO:0000287
Q99583	GO:0000978
Q99583	GO:0001227
Q15329	GO:0000978
Q9UPI3	GO:0020037
P09525	GO:0048306
P09525	GO:0005509
Q7L8C5	GO:0005544
Q7L8C5	GO:0005509
Q7L8C5	GO:0001786
Q92851	GO:0031625
Q92851	GO:0004197
A8MUU1	GO:0005504
Q92934	GO:0019903
P01112	GO:0008022
P01112	GO:0005525
P01112	GO:0003924
P01112	GO:0019003
Q9HCN4	GO:0003924
P48595	GO:0004867
Q6IQ21	GO:0001228
P16473	GO:0008528
P54136	GO:0045296
Q8WUU4	GO:0000978
O43181	GO:0008137
Q9UJW0	GO:0047485
O75558	GO:0005484
P37231	GO:0001227
P37231	GO:0008270
P37231	GO:0000978
P37231	GO:0008022
P37231	GO:0004879
Q9H2K0	GO:0003743
Q92952	GO:0005516
Q9P1Z2	GO:0000978
Q9P1Z2	GO:0008022
Q9P1Z2	GO:0008013
Q9P1Z2	GO:0003713
Q13144	GO:0005085
Q13144	GO:0003743
P52945	GO:0000978
Q15699	GO:0001228
O95267	GO:0005085
O95267	GO:0008270
O95267	GO:0005509
P25800	GO:0003713
P11474	GO:0000978
P11474	GO:0004879
Q96AG4	GO:0045296
P04271	GO:0048306
P04271	GO:0042803
P04271	GO:0005509
Q9Y3Z3	GO:0008270
Q9Y3Z3	GO:0003697
Q9HCU5	GO:0005085
Q9HCU5	GO:0005096
Q8NCA9	GO:0001228
A0PJY2	GO:0000978
Q9Y6G9	GO:0005525
Q9Y6G9	GO:0019003
A6NI15	GO:0000978
Q15019	GO:0003924
Q15019	GO:0045296
P08138	GO:0005516
Q9NUN7	GO:0005509
Q6ZPB5	GO:0042803
A6NHM9	GO:0005507
Q8WYJ6	GO:0003924
O00463	GO:0031625
Q16643	GO:0051015
Q16643	GO:0045296
Q8WWF6	GO:0051082
Q8WWF6	GO:0051087
Q2M3X9	GO:0001227
P68032	GO:0005524
Q9UQB8	GO:0008022
Q00613	GO:0031490
Q00613	GO:0001227
Q00613	GO:0043621
Q00613	GO:0046982
Q9Y2X7	GO:0031267
Q9Y2X7	GO:0005096
O43602	GO:0008017
Q9Y222	GO:0000978
Q8WXG1	GO:0043621
Q9NYS0	GO:0003924
Q9NR56	GO:0003725
Q9Y5L4	GO:0008270
Q05925	GO:0000978
Q05925	GO:0001227
Q8TC26	GO:0008270
Q6UXV0	GO:0030971
P36406	GO:0005525
P36406	GO:0003924
P36406	GO:0019003
P52655	GO:0046982
Q9H668	GO:0003697
Q9Y2Y4	GO:0000978
Q9Y2Y4	GO:0001227
Q04323	GO:0051117
Q04323	GO:0031625
Q04323	GO:0043130
P61457	GO:0003713
Q14956	GO:0005178
Q9HAQ2	GO:0008017
P17480	GO:0097110
Q16658	GO:0051015
Q16658	GO:0045296
Q9H5U6	GO:0008270
O14602	GO:0003743
Q8NGE9	GO:0004984
Q9NR83	GO:0000978
P60953	GO:0061630
P60953	GO:0005525
P60953	GO:0003924
Q9NZU7	GO:0048306
P05230	GO:0005178
P05230	GO:0008083
O14558	GO:0051082
O14558	GO:0051087
A0A1B0GWK0	GO:0051015
A0A1B0GWK0	GO:0005509
Q8NHY2	GO:0061630
P14317	GO:0051015
P14317	GO:0061629
Q9UJV3	GO:0008017
Q9UJV3	GO:0042803
Q9UJV3	GO:0003713
A2RUC4	GO:0042803
A2RUC4	GO:0000049
Q6NX45	GO:0000978
O00712	GO:0000978
O00712	GO:0001228
Q9BV68	GO:0061630
Q6V9R5	GO:0000978
Q13467	GO:0031625
Q13467	GO:0001540
P49207	GO:0045296
P41222	GO:0005504
Q7RTZ1	GO:0004252
Q9P246	GO:0005509
P47211	GO:0008528
Q96N77	GO:0000978
Q9NX65	GO:0000978
P10114	GO:0019003
P10114	GO:0005525
P10114	GO:0003924
P10114	GO:0000287
P03973	GO:0004867
P61244	GO:0001227
Q8N883	GO:0001227
Q96BZ9	GO:0031267
Q96BZ9	GO:0005096
Q7L3B6	GO:0051082
Q7L3B6	GO:0051087
Q9NPD8	GO:0031625
Q9NPD8	GO:0061631
Q6IEV9	GO:0004984
O43734	GO:0061630
Q14872	GO:0000978
Q15466	GO:0042803
Q9BPZ7	GO:0005546
Q86VS8	GO:0008017
O75688	GO:0004722
P35637	GO:0003713
Q9HCE7	GO:0061630
O14764	GO:1904315
O14764	GO:0005254
Q86YW7	GO:0046982
P18850	GO:0046982
P18850	GO:0001228
Q9BY78	GO:0061630
Q9BY78	GO:0008270
O43903	GO:0051015
A0A075B7F1	GO:0034987
P60880	GO:0005484
P60880	GO:0019905
Q9NRY6	GO:0043621
Q9NRY6	GO:0000287
O43736	GO:0001540
Q5JQD4	GO:0005179
Q96GF1	GO:0061630
Q9NPF2	GO:0008146
Q8NGF3	GO:0004984
Q16627	GO:0008009
P56962	GO:0019903
O60443	GO:0005546
Q03938	GO:0000978
Q03938	GO:0008270
Q6P3W2	GO:0008270
Q6UWB1	GO:0004896
Q6UWB1	GO:0019955
Q8IXE1	GO:0004984
Q13569	GO:0042803
P55010	GO:0003743
P55010	GO:0045296
Q96M94	GO:1990756
P56178	GO:0000978
Q9H1P3	GO:0005546
O43193	GO:0008528
A6NIN4	GO:0061630
Q6QN14	GO:0004843
Q6QN14	GO:0004197
Q9BWV3	GO:0042803
Q8NHV1	GO:0042803
Q8NHV1	GO:0003924
Q4G0M1	GO:0005179
P83916	GO:0035064
P51786	GO:0000978
Q13555	GO:0042803
Q13555	GO:0005516
O95672	GO:0004222
Q9H707	GO:0000978
P31269	GO:0000978
P41225	GO:0000978
P01189	GO:0005179
Q92542	GO:0051117
P35241	GO:0051117
P35241	GO:0045296
P10914	GO:0000978
P10914	GO:0001228
O60603	GO:0001540
Q8NGX6	GO:0004984
P52742	GO:0000978
Q9H974	GO:0046982
Q9H974	GO:0042803
Q9UNH5	GO:0004722
Q96NG8	GO:0001227
Q96G28	GO:0047485
O15155	GO:0005484
O60883	GO:0008528
P01583	GO:0005507
Q9H173	GO:0051082
Q9UC07	GO:0001227
Q9Y496	GO:0008017
Q9Y496	GO:0031267
Q9Y496	GO:0019903
P51787	GO:0097110
P51787	GO:0044325
P51787	GO:0005249
P51787	GO:0005546
Q99439	GO:0045296
Q99966	GO:0042803
Q99966	GO:0008022
Q99966	GO:0003713
Q86XU0	GO:0000978
Q96L34	GO:0008017
Q96L34	GO:0005524
P19957	GO:0004867
P61011	GO:0003924
P61011	GO:0019003
Q6P9A1	GO:0000978
P07510	GO:0005231
P07510	GO:1904315
Q9GZQ4	GO:0005525
P50539	GO:0000978
P16401	GO:0042826
P16401	GO:0031490
Q96JB3	GO:0008022
Q9ULB5	GO:0005509
Q9NZL6	GO:0005085
P50552	GO:0017124
P50552	GO:0045296
Q99075	GO:0008083
P62826	GO:0019003
P62826	GO:0045296
P62826	GO:0000287
P62826	GO:0005525
Q14494	GO:0000978
P78314	GO:0017124
Q3KNW1	GO:0000978
Q569K4	GO:0002039
Q9Y3L3	GO:0005096
A0A0A0MS15	GO:0034987
Q86UD7	GO:0005096
P19623	GO:0042803
Q9NR63	GO:0004497
Q9NR63	GO:0020037
Q96TA1	GO:0045296
Q96TA1	GO:0003713
P15927	GO:0003684
P15927	GO:0031625
P15927	GO:0019903
Q8N465	GO:0008270
Q6ZU15	GO:0003924
Q86Y01	GO:0061630
Q86Y01	GO:0031625
Q86Y01	GO:0003713
P34896	GO:0008270
Q9H461	GO:0030165
Q9H461	GO:0031625
P05981	GO:0004252
A0A0B4J1Y9	GO:0034987
P32241	GO:0008528
O15144	GO:0051015
P33764	GO:0048306
P33764	GO:0005509
P47736	GO:0031267
P47736	GO:0042803
P47736	GO:0005096
P32455	GO:0042803
P32455	GO:0019003
P32455	GO:0019955
P32455	GO:0005525
P32455	GO:0003924
Q86TM6	GO:0061630
Q86TM6	GO:0051082
Q86TM6	GO:0051087
Q8TAU0	GO:0000978
Q6ZN57	GO:0000978
O60573	GO:0003743
Q9Y5J7	GO:0042803
Q9Y5J7	GO:0008270
Q9Y5J7	GO:0051087
O60353	GO:0031625
Q9NWT6	GO:0008270
Q9NX74	GO:0003725
P04083	GO:0048306
P04083	GO:0005544
A8MT65	GO:0001227
O76076	GO:0005178
O14625	GO:0008009
Q8IYB1	GO:0045296
P23258	GO:0005525
Q9NRJ3	GO:0008009
P11488	GO:0003924
Q9BQ90	GO:1990756
O75444	GO:0000978
Q92546	GO:0031267
Q92546	GO:0005085
Q9Y689	GO:0005525
O15234	GO:0031625
P52306	GO:0005085
Q9Y330	GO:0000978
Q86VE0	GO:0000978
Q9H596	GO:0004725
O94955	GO:0005524
O94955	GO:0031267
O94955	GO:0005525
O94955	GO:0003924
A0PJX0	GO:0005509
Q96NG5	GO:0001227
O60739	GO:0003743
P51843	GO:0061629
Q96N95	GO:0000978
Q9P021	GO:0008017
Q9P021	GO:0030165
Q9P021	GO:0097110
B2RUZ4	GO:0042803
O43323	GO:0008270
O43323	GO:0005509
Q15691	GO:0008022
Q15691	GO:0045296
P19447	GO:0003684
P19447	GO:0008022
P19447	GO:0047485
P01215	GO:0005179
A6NHL2	GO:0005525
Q96DZ1	GO:0051082
O75569	GO:0042803
P14555	GO:0005509
O43169	GO:0020037
Q6NVH7	GO:0003697
Q9NX38	GO:0051015
Q7L0Y3	GO:0000049
Q9Y458	GO:0000978
Q86T96	GO:0061630
Q9UMQ3	GO:0001228
Q8TF45	GO:0000978
Q02878	GO:0045296
P51512	GO:0008270
P51512	GO:0004222
Q92481	GO:0000978
Q92481	GO:0046982
Q92481	GO:0001228
Q92481	GO:0042803
Q9NTX7	GO:0061630
P16519	GO:0004252
O43524	GO:0000978
O43524	GO:0008013
P05154	GO:0004867
P16083	GO:0042803
P16083	GO:0008270
P17947	GO:0000978
P17947	GO:0061629
P42574	GO:0004197
Q9UDV6	GO:0000978
Q9UDV6	GO:0008270
Q6PF06	GO:0000049
Q8NFH5	GO:0003697
Q15915	GO:0000978
Q92609	GO:0005096
Q8N371	GO:0035064
P17677	GO:0005516
P17677	GO:0001786
P10912	GO:0004896
P10912	GO:0042803
P10912	GO:0019955
Q15669	GO:0031267
Q15669	GO:0005525
Q15669	GO:0003924
Q15070	GO:0042803
Q8TE04	GO:0042803
P23246	GO:0042826
P23246	GO:0042803
Q5T0T0	GO:0061630
P98177	GO:0000978
P98177	GO:0001228
P98177	GO:0008013
Q13882	GO:0004713
Q15311	GO:0031267
Q15311	GO:0005096
P10827	GO:0000978
P10827	GO:0004879
Q8NGI4	GO:0004984
P17036	GO:0001227
Q9NP95	GO:0008083
Q9NZ52	GO:0031267
Q9NZ52	GO:0043130
P45378	GO:0048306
Q9H160	GO:0035064
Q7Z398	GO:0001227
O15354	GO:0031625
O15354	GO:0008528
Q14765	GO:0000978
Q9H0F7	GO:0005525
Q12778	GO:0000978
Q12778	GO:0031625
